Crop Name,Expected Expenditure,Expected Selling Price,Expected Profit %,Duration,Soil Type,Season
PADDY,2151.136668187217,2730.406642948743,21.200121029614273,120,red yellow,kharif
PADDY,2151.136668187217,2730.406642948743,21.200121029614273,120,alluvium,kharif
PADDY,2151.136668187217,2730.406642948743,21.200121029614273,120,red loamy,kharif
PADDY,2151.136668187217,2730.406642948743,21.200121029614273,120,red sandy,kharif
JOWAR,2374.146668187226,2830.962198504305,-1.299878970385615,70,loamy,kharif
JOWAR,2374.146668187226,2830.962198504305,-1.299878970385615,70,sandy,kharif
BAJRA,2415.831668187224,2649.573309615429,-4.35543452594111,100,red,kharif
MAIZE,2251.6150015205494,2914.962198504305,27.866787696281047,100,loamy,kharif
MAIZE,2251.6150015205494,2914.962198504305,27.866787696281047,100,sandy,kharif
RAGI,3114.899445965013,4518.739976282057,51.47789880739224,120,loamy,kharif
ARHAR,3580.4055570760975,5147.073309615429,50.644565474058865,280,alluvium,kharif
MOONG,3845.802779298334,4943.184420726553,27.589009918503283,75,loamy,kharif
MOONG,3845.802779298334,4943.184420726553,27.589009918503283,75,sandy,kharif
URAD,3491.1583348538843,4550.962198504305,29.53345436294773,120,loamy,kharif
URAD,3491.1583348538843,4550.962198504305,29.53345436294773,120,sandy,kharif
COTTON,3622.386112631648,4857.351087393181,41.47789880739221,240,alluvium,kharif
COTTON,3622.386112631648,4857.351087393181,41.47789880739221,240,loamy,kharif
COTTON,3622.386112631648,4857.351087393181,41.47789880739221,240,sandy,kharif
SUNFLOWER SEED,2933.2777792983106,3780.295531837619,25.922343251836523,100,alluvium,kharif
SUNFLOWER SEED,2933.2777792983106,3780.295531837619,25.922343251836523,100,red loamy,kharif
SUNFLOWER SEED,2933.2777792983106,3780.295531837619,25.922343251836523,100,red yellow,kharif
SUNFLOWER SEED,2933.2777792983106,3780.295531837619,25.922343251836523,100,red sandy,kharif
SUNFLOWER SEED,2933.2777792983106,3780.295531837619,25.922343251836523,100,black,kharif
SOYABEAN,2598.1566681872355,3364.573309615429,28.4223432518366,150,loamy,kharif
SESAMUM,3487.7388904094114,4621.351087393181,30.644565474058837,120,red,kharif
WHEAT,1974.3257879341836,2552.1831246030633,29.833969849771712,165,loamy,rabi
BARLEY,3335.8655570761184,3941.795531837619,12.311232140725558,70,loamy,rabi
BARLEY,3335.8655570761184,3941.795531837619,12.311232140725558,70,sandy,rabi
BARLEY,3335.8655570761184,3941.795531837619,12.311232140725558,70,black,rabi
GRAM,3253.026668187231,4254.851087393181,30.644565474058894,120,loamy,rabi
GRAM,3253.026668187231,4254.851087393181,30.644565474058894,120,sandy,rabi
GRAM,3253.026668187231,4254.851087393181,30.644565474058894,120,black,rabi
MASUR,3184.066112631699,4206.239976282057,38.14456547405888,135,loamy,rabi
MUSTARD,3252.3655570761184,4297.906642948743,40.08900991850328,95,loamy,rabi
MUSTARD,3252.3655570761184,4297.906642948743,40.08900991850328,95,alluvium,rabi
SAFFLOWER,3045.590001520526,4130.128865170991,40.36678769628105,42,red,rabi
SUGARCANE ,1435.2827742184163,1890.0745949167758,39.79785701775725,520,alluvium,rabi
SUGARCANE ,1435.2827742184163,1890.0745949167758,39.79785701775725,520,red loamy,rabi
SUGARCANE ,1435.2827742184163,1890.0745949167758,39.79785701775725,520,red sandy,rabi
SUGARCANE ,1435.2827742184163,1890.0745949167758,39.79785701775725,520,red yellow,rabi
SUGARCANE ,1435.2827742184163,1890.074594916834,39.797857017757266,520,black,rabi
